date,1,2,3,4,5
2014-01-01,全米,北米,アメリカ,米国,全国
2014-01-01,の,、,で,女子,##ス
2014-01-01,30,31,29,28,1
2014-01-01,##オープン,##アリーナ,##ゲームズ,##プール,##カップ
2014-01-01,イングランド,欧州,女子,-,ヨーロッパ
2014-01-01,の,、,が,で,と
2014-01-01,で,、,##。,と,や
2014-01-01,##・,##ター,u,##グ,##タイム
2014-01-01,中国,台湾,世界,韓国,香港
2014-01-01,中国,台湾,世界,韓国,香港
2014-01-01,1,2,2019,18,19
2014-01-01,##・,は,、,##b,が
2014-01-01,(,##(,[,[UNK],(※
2014-01-01,-,##a,"""",(,""">"
2014-01-01,[,ニューヨーク,##[,「,##*
2014-01-01,ニューヨーク,##、,##。,東京,同
2014-01-01,-,##a,"""",(,""">"
2014-01-01,-,##a,"""",(,""">"
2014-01-01,-,##a,"""",(,""">"
2014-01-01,、,は,の,が,と
2014-01-01,女子,「,オープン,車いす,男子
2014-01-01,-,##a,"""",(,""">"
2014-01-01,[,「,##[,##、,『
2014-01-01,、,の,と,で,「
2014-01-01,##ス,##ム,##ディ,##チ,##ズ
2014-01-01,-,##a,"""",(,""">"
2014-01-01,-,##a,"""",(,""">"
2014-01-01,(,23,31,24,-
2014-01-01,[,「,##[,##、,『
2014-01-01,-,##a,"""",(,""">"
2014-01-01,、,の,で,は,による
2014-01-01,##ス,##ム,##ディ,##チ,##ズ
2014-01-01,の,と,##],##、,]
2014-01-01,の,自動車,市場,、,投資
2014-01-01,,,,,
2014-01-01,と,が,の,、,で
2014-01-01,,,,,
2014-01-01,,,,,
2014-01-01,##、,と,##。,で,の
2014-01-01,##。,##、,、,。,##]
2014-01-01,ロンドン,##、,同,##],パリ
2014-01-01,ロンドン,パリ,同,##、,##]
2014-01-01,の,自動車,市場,、,投資
2014-01-01,と,が,の,、,で
2014-01-01,,,,,
2014-01-01,-,##a,"""",(,""">"
2014-01-01,-,##a,"""",(,""">"
2014-01-01,##、,と,##。,で,の
2014-01-01,。,!,です,、,ん
2014-01-01,トルコ,ニューヨーク,ロンドン,ドイツ,イスタンブール
2014-01-01,ニューヨーク,トルコ,ドイツ,ロンドン,東京
2014-01-01,と,##[,##。,##、,##]
2014-01-01,##ス,##ズ,##ル,##ティ,##ター
2014-01-01,##、,##[,##。,##],##)
2014-01-01,,,,,
2014-01-01,##、,と,で,、,の
2014-01-01,ロンドン,パリ,同,##、,##]
2014-01-01,の,で,##、,、,「
2014-01-02,-,##a,"""",(,""">"
2014-01-02,。,!,です,、,ん
2014-01-02,、,で,##、,と,の
2014-01-02,##[,##、,##],と,##。
2014-01-02,-,##a,"""",(,""">"
2014-01-02,##計,##分,##白,##大,##美
2014-01-02,『,、,「,は,##、
2014-01-02,,,,,
2014-01-02,##、,の,##。,、,と
2014-01-02,##、,と,の,、,##]
2014-01-02,『,、,「,は,##、
2014-01-02,##通信,##タイムズ,##ター,##マン,##社
2014-01-02,##ス,##マン,##通信,##タイムズ,##ワールド
2014-01-02,と,##、,の,による,、
2014-01-02,日本,台湾,中国,[UNK],上海
2014-01-02,##通信,##タイムズ,ニュース,##社,##ニュース
2014-01-02,と,##],##。,##[,・
2014-01-02,と,##[,##、,##],の
2014-01-02,##、,##。,の,##(,と
2014-01-02,、,##、,は,同,翌
2014-01-02,-,##a,"""",(,""">"
2014-01-02,-,##a,"""",(,""">"
2014-01-02,##、,と,##。,の,##[
2014-01-02,##、,の,##。,、,と
2014-01-02,##、,と,の,、,##]
2014-01-02,##通信,##タイムズ,##ター,##マン,##社
2014-01-02,(,),。,)(,[UNK]
2014-01-02,1,2,3,4,5
2014-01-02,と,##、,の,による,、
2014-01-02,-,##a,"""",(,""">"
2014-01-02,鉄道,台湾,日本,中国,[UNK]
2014-01-02,##通信,##タイムズ,ニュース,##社,##ニュース
2014-01-02,と,##],##。,##[,・
2014-01-02,-,##a,"""",(,""">"
2014-01-02,と,、,は,「,が
2014-01-02,、,の,##、,##。,と
2014-01-02,、,翌,同,は,##、
2014-01-02,-,##a,"""",(,""">"
2014-01-02,##。,##、,##)、,##),、
2014-01-02,-,##a,"""",(,""">"
2014-01-02,##。,##、,##)、,##),、
2014-01-02,-,##a,"""",(,""">"
2014-01-02,##[,は,##、,[,##]
2014-01-02,-,##a,"""",(,""">"
2014-01-02,[,##[,##着,【,##)
2014-01-02,##[,は,##、,[,##]
2014-01-02,-,##a,"""",(,""">"
2014-01-02,[,##着,##[,##新聞,##・
2014-01-02,[,##、,##[,],、
2014-01-02,##[,[,##、,と,##]
2014-01-02,[,##[,##、,と,##。
2014-01-02,は,の,、,が,##、
2014-01-02,-,##a,"""",(,""">"
2014-01-02,-,##a,"""",(,""">"
2014-01-02,、,は,「,##、,と
2014-01-02,##、,は,、,##。,「
2014-01-02,「,の,##。,『,##『
2014-01-02,と,##[,##、,##],##。
2014-01-03,##[,の,##、,で,は
2014-01-03,。,!,です,、,ん
2014-01-03,と,の,##、,による,##[
2014-01-03,と,の,##、,による,##[
2014-01-03,、,で,と,の,##。
2014-01-03,と,・,が,および,の
2014-01-03,と,##[,は,・,、
2014-01-03,,,,,
2014-01-03,##。,##、,の,は,]
2014-01-03,と,、,の,が,は
2014-01-03,、,で,と,の,##。
2014-01-03,##ター,##通信,##マン,##タイムズ,首相
2014-01-03,と,##。,、,##、,は
2014-01-03,の,年間,、,総,##。
2014-01-03,##通信,社,ニュース,##ター,##社
2014-01-03,「,##、,##[,、,##]
2014-01-03,と,・,が,および,の
2014-01-03,の,は,##、,、,による
2014-01-03,ロンドン,パリ,ニューヨーク,マドリード,同
2014-01-03,-,##a,"""",(,""">"
2014-01-03,##[,、,##、,[,##(
2014-01-03,-,##a,"""",(,""">"
2014-01-03,-,##a,"""",(,""">"
2014-01-03,##。,##、,の,は,]
2014-01-03,と,、,の,が,は
2014-01-03,の,と,##、,##。,・
2014-01-03,。,!,です,、,ん
2014-01-03,と,##。,、,##、,は
2014-01-03,の,、,##。,年間,総
2014-01-03,##通信,##ター,社,ニュース,##社
2014-01-03,「,##、,##[,、,##]
2014-01-03,の,は,##、,、,による
2014-01-03,ロンドン,パリ,ニューヨーク,マドリード,同
2014-01-03,-,##a,"""",(,""">"
2014-01-03,、,##、,と,##。,で
2014-01-03,と,、,の,で,・
2014-01-03,##通信,##ター,##タイムズ,ニュース,##マン
2014-01-03,-,##a,"""",(,""">"
2014-01-03,と,、,の,で,・
2014-01-03,##通信,##マン,##ター,##タイムズ,##ナル
2014-01-03,##。,は,で,##、,##[
2014-01-03,##。,は,で,##、,##[
2014-01-03,##通信,##マン,##ター,##タイムズ,##ナル
2014-01-03,##ター,##通信,##タイムズ,紙,##カー
2014-01-03,-,##a,"""",(,""">"
2014-01-03,と,##、,、,及び,や
2014-01-03,社,),##ズ,##グループ,##ス
2014-01-03,-,##a,"""",(,""">"
2014-01-03,と,##、,、,及び,や
2014-01-03,##通信,社,##ズ,##ス,##コム
