date,1,2,3,4,5
2010-01-01,プロ,プロフェッショナル,大学,男子,学生
2010-01-01,で,##説,紙,##紙,と
2010-01-01,で,##説,紙,##紙,と
2010-01-01,##ズ,##センター,##ス,##c,##社
2010-01-01,の,大手,と,米,米国
2010-01-01,、,##リーグ,##・,の,)。
2010-01-01,、,##・,##リーグ,の,。
2010-01-01,イタリア,当時,##c,初,##f
2010-01-01,当時,##c,で,##ン,##リーグ
2010-01-01,の,##。,による,[,##[
2010-01-01,「,##「,##、「,:「,の
2010-01-01,この,31,その,30,32
2010-01-01,この,31,その,30,32
2010-01-01,の,で,のみ,日,付
2010-01-01,この,31,その,最終,同
2010-01-01,の,で,のみ,日,付
2010-01-01,と,アメリカ,アメリカ合衆国,・,の
2010-01-01,アメリカ,と,アメリカ合衆国,米,、
2010-01-01,この,31,その,最終,同
2010-01-01,##c,##b,##f,##r,##j
2010-01-01,##値,日,売,##定,終
2010-01-01,(,。,[UNK],、,-
2010-01-01,##物,##ズ,ダイヤモンド,株価,ドル
2010-01-01,[UNK],-,",",!,.
2010-01-01,31,この,30,27,26
2010-01-01,31,この,30,27,26
2010-01-01,,,,,
2010-01-01,0,5,8,9,4
2010-01-01,(,。,[UNK],、,-
2010-01-01,(,。,[UNK],、,-
2010-01-01,アメリカ,##。,アメリカ合衆国,と,米国
2010-01-01,と,、,の,##、,##。
2010-01-01,」,)」,!」,...」,-」
2010-01-01,##イン,##キャ,##エク,##コン,税
2010-01-01,,,,,
2010-01-01,-,##a,"""",(,""">"
2010-01-01,,,,,
2010-01-01,フォー,ラン,##ラン,ヘ,バ
2010-01-01,と,の,など,や,、
2010-01-01,この,31,その,30,32
2010-01-01,この,31,その,30,32
2010-01-01,カリフォルニア,ミシガン,ニューヨーク,イリノイ,フロリダ
2010-01-01,##華,##新,##合,##ワールド,##日
2010-01-01,ロシア,##チン,アメリカ,後任,日本
2010-01-01,ロシア,##チン,アメリカ,後任,日本
2010-01-01,フォー,ラン,##ラン,ヘ,バ
2010-01-01,(,。,[UNK],、,-
2010-01-01,(,。,[UNK],、,-
2010-01-01,、,は,の,・,。
2010-01-01,と,の,など,や,、
2010-01-01,この,31,その,1,30
2010-01-01,日,年,日間,時,世紀
2010-01-01,ロシア,##チン,モスクワ,アメリカ,ウクライナ
2010-01-01,-,##a,"""",(,""">"
2010-01-01,カリフォルニア,ミシガン,ニューヨーク,イリノイ,フロリダ
2010-01-01,-,##a,"""",(,""">"
2010-01-01,##華,##新,##合,##ワールド,##日
2010-01-01,と,アメリカ,アメリカ合衆国,米国,・
2010-01-02,,,,,
2010-01-02,プロ,プロフェッショナル,男子,大学,学生
2010-01-02,の,・,##オープン,ワールド,プロ
2010-01-02,に,日,、,時,午後
2010-01-02,に,日,、,時,午後
2010-01-02,に,日,、,時,午後
2010-01-02,##オープン,初,##ビ,で,##落とし
2010-01-02,・,と,の,、,全米
2010-01-02,ロシア,##下,地元,所属,日本
2010-01-02,ロシア,##下,地元,所属,日本
2010-01-02,所属,##c,イングランド,で,傘下
2010-01-02,など,全国,アメリカ,世界,で
2010-01-02,報道,記事,発表,報告,##ポート
2010-01-02,州,##アン,時間,日,ホノルル
2010-01-02,州,##アン,時間,日,ホノルル
2010-01-02,州,##アン,ホノルル,時間,日
2010-01-02,-,##a,"""",(,""">"
2010-01-02,-,##a,"""",(,""">"
2010-01-02,-,##a,"""",(,""">"
2010-01-02,-,##a,"""",(,""">"
2010-01-02,-,##a,"""",(,""">"
2010-01-02,-,##a,"""",(,""">"
2010-01-02,-,##a,"""",(,""">"
2010-01-02,-,##a,"""",(,""">"
2010-01-02,-,##a,"""",(,""">"
2010-01-02,-,##a,"""",(,""">"
